package_id,archive,archive_type,setup_py_count,ast_parsed_setup_count,regex_parsed_setup_count,setup_without_detected_imports,unique_import_count,total_import_occurrences,standard_unique_imports,third_party_or_other_unique_imports,status
aiowowapi-2.1.4,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiowowapi-2.1.4.tar.gz,tar,1,1,0,0,1,1,0,1,imports detected
aira-0.4.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aira-0.4.0.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
airduct-0.1.9,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\airduct-0.1.9.tar.gz,tar,1,1,0,0,1,1,1,0,imports detected
aisolver-0.0.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aisolver-0.0.1.tar.gz,tar,0,0,0,0,0,0,0,0,no setup.py found
aitoolbox-1.8.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aitoolbox-1.8.0.tar.gz,tar,1,1,0,0,1,1,0,1,imports detected
aivirtualassistant-1.0.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aivirtualassistant-1.0.0.tar.gz,tar,1,1,0,0,3,3,2,1,imports detected
ajpuamjad-1.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\ajpuamjad-1.0.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
alabaster-1.0.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\alabaster-1.0.0.tar.gz,tar,0,0,0,0,0,0,0,0,no setup.py found
albumsplit-1.0.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\albumsplit-1.0.0.tar.gz,tar,1,1,0,0,1,1,0,1,imports detected
alembic-1.13.2,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\alembic-1.13.2.tar.gz,tar,1,1,0,0,1,2,0,1,imports detected
algokit-learn-0.0.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\algokit-learn-0.0.1.tar.gz,tar,1,1,0,0,1,1,0,1,imports detected
algoliasearch-4.0.0b9,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\algoliasearch-4.0.0b9.tar.gz,tar,0,0,0,0,0,0,0,0,no setup.py found
aliboostanpdf-1.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aliboostanpdf-1.0.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
aliyunsdkcore-1.0.3,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aliyunsdkcore-1.0.3.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
alkana-0.0.3,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\alkana-0.0.3.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
allocutez-1.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\allocutez-1.1.tar.gz,tar,1,1,0,0,2,2,2,0,imports detected
allow-0.0.3,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\allow-0.0.3.tar.gz,tar,1,1,0,0,6,7,3,3,imports detected
almost-0.1.dev,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\almost-0.1.dev.tar.gz,tar,1,1,0,0,4,5,3,1,imports detected
